Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,USG%,_key,Salary_Millions,Expected_PER,Efficiency_Surplus,Surplus_Rank,PER_Rank,Salary_Rank,PVI,Salary_Tier,Value_Label,Player_display
1,Shai Gilgeous-Alexander,26,OKC,PG,76,76,34.2,11.3,21.8,0.519,2.1,5.7,0.375,9.2,16.1,0.571,0.569,7.9,8.8,0.898,0.9,4.1,5.0,6.4,1.7,1.0,2.4,2.2,32.7,30.7,34.8,shai gilgeous-alexander,35.85995,18.69026070202665,12.01,1,2,25,1.826550232222856,Superstar (>=25M),STEAL,Shai Gilgeous-Alexander
2,Giannis Antetokounmpo,30,MIL,PF,67,67,34.2,11.8,19.7,0.601,0.2,0.9,0.222,11.6,18.7,0.62,0.607,6.5,10.6,0.617,2.2,9.7,11.9,6.5,0.9,1.2,3.1,2.3,30.4,30.5,35.2,giannis antetokounmpo,48.787676,20.935544602218464,9.56,5,3,9,1.346651560119404,Superstar (>=25M),STEAL,Giannis Antetokounmpo
3,Nikola Jokic,29,DEN,C,70,70,36.7,11.2,19.5,0.576,2.0,4.7,0.417,9.3,14.8,0.627,0.627,5.2,6.4,0.8,2.9,9.9,12.7,10.2,1.8,0.6,3.3,2.3,29.6,32.0,29.5,nikola jokic,51.415938,21.397244838678063,10.6,2,1,2,1.1961271619706715,Superstar (>=25M),STEAL,Nikola Jokic
5,Anthony Edwards,23,MIN,SG,79,79,36.3,9.1,20.4,0.447,4.1,10.3,0.395,5.1,10.1,0.501,0.547,5.3,6.3,0.837,0.8,4.9,5.7,4.5,1.2,0.6,3.2,1.9,27.6,20.1,31.4,anthony edwards,42.1764,19.781963832158944,0.32,84,26,15,1.2210620157244336,Superstar (>=25M),Fair Value,Anthony Edwards
6,Jayson Tatum,26,BOS,PF,72,72,36.4,9.2,20.3,0.452,3.5,10.1,0.343,5.7,10.2,0.559,0.537,5.0,6.1,0.814,0.7,8.0,8.7,6.0,1.1,0.5,2.9,2.2,26.8,21.7,31.2,jayson tatum,34.84834,18.51636643800745,3.18,34,15,30,1.518006309626226,Superstar (>=25M),Undervalued,Jayson Tatum
7,Kevin Durant,36,PHX,PF,62,62,36.5,9.5,18.1,0.527,2.6,6.0,0.43,7.0,12.1,0.574,0.598,4.9,5.8,0.839,0.4,5.7,6.0,4.2,0.8,1.2,3.1,1.7,26.6,21.2,28.7,kevin durant,51.179021,21.355553824428174,-0.16,94,21,3,0.9750088810803943,Superstar (>=25M),Fair Value,Kevin Durant
8,Tyrese Maxey,24,PHI,PG,52,52,37.7,9.2,21.0,0.437,3.1,9.2,0.337,6.1,11.8,0.515,0.511,4.9,5.6,0.879,0.3,3.1,3.3,6.1,1.8,0.4,2.4,2.2,26.3,19.5,29.8,tyrese maxey,35.147,18.56767844195963,0.93,66,36,28,1.40268017184966,Superstar (>=25M),Fair Value,Tyrese Maxey
9,Cade Cunningham,23,DET,PG,70,70,35.0,9.8,20.8,0.469,2.1,6.0,0.356,7.6,14.8,0.515,0.521,4.5,5.3,0.846,0.8,5.3,6.1,9.1,1.0,0.8,4.4,2.8,26.1,20.6,33.2,cade cunningham,13.940809,14.98095229404118,5.62,15,23,87,3.8591734525593173,Role Player (5-15M),STEAL,Cade Cunningham
10,Jalen Brunson,28,NYK,PG,65,65,35.4,9.0,18.5,0.488,2.3,6.1,0.383,6.7,12.4,0.539,0.551,5.7,6.9,0.821,0.4,2.5,2.9,7.3,0.9,0.1,2.5,2.1,26.0,21.6,29.5,jalen brunson,24.960001,16.83034827971999,4.77,19,16,51,2.047275559003383,Star (15-25M),STEAL,Jalen Brunson
11,Paolo Banchero,22,ORL,PF,46,46,34.4,9.0,19.8,0.452,1.9,5.9,0.32,7.1,13.9,0.509,0.5,6.1,8.4,0.727,1.1,6.4,7.5,4.8,0.8,0.6,3.0,2.1,25.9,20.0,33.6,paolo banchero,12.1608,14.685117344944558,5.31,16,28,96,4.407604762844549,Role Player (5-15M),STEAL,Paolo Banchero
